frameTime,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,participant_id
0.0,25.5957,0.2210887,22.03519,23.55837,27.02456,4.989365,141.3764,234.9266,80.33669,248.7269,0.09419776,0.6475271,0.06053254,0.06545231,0.1167182,0.05618563,1.412239,1.205616,0.9622276,1.035585,0.02149218,1.125926,1.117964,0.8503377,5.398129,0.3740698,9.571195,0.7040775,22.81606,0.2957036,533.4119,0.3480785,1414.45,0.1497379,-166.1317,-0.4312166,1497.405,0.1595254,-166.5788,-0.4119237,2444.425,0.09021969,-167.538,-0.3976627,-16.05659,-0.3176561,24.98152,0.2276192,-0.009319182,-2.051908,-0.007145931,-1.922646,-15.07863,25.55667,-0.02441586,0.009155789,0.7353814,1.018794,0.1787581,0.177598,0.7898303,1.752425,302
0.0,33.28882,0.1125542,31.28851,33.14382,35.49654,4.208035,181.8962,327.014,50.02539,118.0827,0.1617373,0.8338291,0.06059974,0.09886402,0.2598896,0.1992898,3.149343,2.242711,2.304573,1.770934,0.02501013,1.958272,1.071826,0.8934414,8.328702,0.3522238,1.875263,5.239411,22.4363,0.480745,633.1882,0.2493218,1467.287,0.1340918,-127.2733,-0.7191527,1608.312,0.1389866,-129.2796,-0.6662875,2512.43,0.09781022,-132.2219,-0.623888,-14.63827,-0.458256,26.36675,0.2983785,0.01798892,1.292798,-0.0176238,-0.8858887,-15.22682,25.3725,-0.01710172,0.004484283,1.636067,1.014981,0.18966,0.1747692,0.28813,0.5155998,303
0.0,34.86676,0.1077374,32.68687,34.45808,37.56078,4.873909,172.443,292.8351,77.22904,161.2512,0.1236522,0.8953304,0.056685,0.07412902,0.1728582,0.1161732,2.474233,2.101797,1.595664,1.571312,0.02288253,1.953539,0.9955858,0.8761445,8.822986,0.3538366,4.386203,1.998938,22.21108,0.4456391,631.1313,0.2430761,1436.85,0.1310551,-146.0406,-0.5865098,1624.104,0.1330824,-146.495,-0.5548838,2553.741,0.09000617,-148.388,-0.5281028,-15.21313,-0.4408882,25.04963,0.3169819,0.01460891,1.605005,-0.01496769,-1.008287,-15.84645,25.66524,-0.01964665,0.003904905,1.078742,1.261766,0.20092,0.2107893,0.48515,0.9070318,304
0.0,26.06966,0.1967212,22.6059,24.60255,29.01878,6.412882,189.1801,293.5469,66.44051,179.0218,0.4849289,0.7707746,0.1922304,0.3515318,0.7391034,0.546873,6.159391,5.225009,3.556879,3.170826,0.02436864,1.79232,1.225911,0.689449,4.747339,0.638954,5.774924,1.569277,26.97388,0.3538431,535.5219,0.2928129,1469.675,0.1252302,-141.6079,-0.6138114,1459.235,0.1523565,-144.3735,-0.566327,2402.694,0.1059385,-147.7632,-0.5198401,-18.00229,-0.3934104,31.45778,0.2544294,0.007638601,2.869057,-0.02614568,-0.5759705,-17.66698,30.00688,-0.01017643,-0.01661225,0.966555,0.5868751,0.18754,0.1913764,0.43594,0.6562299,305
0.0,34.62721,0.1228771,31.82877,34.06143,37.22575,5.396976,170.4091,321.4071,82.22297,240.486,0.6410657,0.765429,0.2167006,0.4850846,0.9977213,0.7810207,9.172115,5.961173,5.164584,3.798619,0.02215872,1.877604,1.16502,0.6675479,7.767994,0.4116383,2.540615,4.812887,23.90495,0.5518745,704.2911,0.2220623,1433.977,0.1467382,-115.3841,-0.8191887,1678.057,0.1280237,-117.2943,-0.7598155,2593.36,0.1000287,-120.7931,-0.7073854,-16.64447,-0.4920264,27.18219,0.362803,0.02927975,0.7616539,-0.0298824,-0.4900415,-16.23717,26.08909,-0.002982717,-0.01783683,1.768661,0.807285,0.23736,0.2340376,0.30846,0.5229732,307
0.0,19.67457,0.1973014,17.22443,19.11158,21.40499,4.180563,175.0125,350.4576,63.76731,131.5753,0.09358938,1.419881,0.01853436,0.02659664,0.1578659,0.1393316,3.165873,2.519333,2.616501,2.09904,0.03020386,1.04125,1.330854,0.9294942,2.830711,0.6913065,5.364384,1.06057,22.41683,0.3900728,487.2491,0.3137014,1345.622,0.1422163,-170.3356,-0.405583,1448.036,0.1323575,-171.769,-0.3817698,2432.729,0.08712738,-172.9089,-0.3641823,-14.25651,-0.4382289,24.15554,0.3141775,0.002002005,11.48532,-0.009191209,-1.694043,-21.32377,33.50702,-0.03381234,0.01501822,1.080614,1.009659,0.1453107,0.1411471,0.8296226,2.069811,310
0.0,22.8449,0.2314345,19.0806,22.0601,25.6487,6.568104,268.1088,488.3242,90.19508,194.9133,0.1222419,1.423088,0.01993908,0.0279884,0.2268385,0.2068994,4.142704,2.85886,3.460714,2.792054,0.02747478,1.241894,1.282838,1.007428,4.613985,0.6231427,4.865713,1.570802,28.46636,0.3401261,497.2766,0.2955201,1354.999,0.1377763,-164.808,-0.4472132,1469.287,0.1446296,-167.2027,-0.4080424,2506.667,0.08845353,-168.6234,-0.3868116,-19.23874,-0.3440454,29.15429,0.2591891,-0.002737439,-9.366987,-0.01883635,-0.975293,-19.8801,32.25792,-0.02634451,0.01688348,1.373435,1.164645,0.1504348,0.1861439,0.6938158,1.797526,312
0.0,22.84547,0.1193289,21.17851,22.29865,23.99605,2.817541,108.6724,290.0113,50.83872,136.6451,0.06865083,1.277166,0.01845705,0.02316577,0.1159292,0.09747217,1.875698,1.397171,1.484338,1.269927,0.02053277,1.494452,1.056859,1.125895,5.184428,0.3981759,4.964025,0.9044802,25.01922,0.3007185,471.495,0.292793,1358.44,0.1274542,-157.4153,-0.5109432,1411.33,0.1262981,-159.6223,-0.4770012,2395.305,0.08145706,-161.9049,-0.4438165,-14.96507,-0.3951778,26.69581,0.2408286,0.01018115,2.320563,-0.005509107,-3.358595,-18.75688,30.7253,-0.02196221,0.01729357,1.045384,0.7164369,0.2998518,0.2745434,1.077143,2.615308,313
0.0,23.62388,0.1457485,22.6054,23.79885,25.14148,2.536081,210.3588,298.4751,77.80793,235.5639,0.1894774,1.160642,0.02365148,0.110599,0.3328293,0.3091778,3.875344,3.262356,2.645958,2.815942,0.02421606,1.675434,1.09093,1.032495,5.125864,0.5985838,9.861063,1.694991,30.54621,0.4290579,503.3586,0.297968,1377.847,0.1308664,-147.6404,-0.5611308,1477.947,0.1677973,-150.9859,-0.5138844,2479.586,0.1073929,-153.7797,-0.4753608,-20.5871,-0.4397194,32.53217,0.2728433,-0.0136515,-2.25746,-0.01917453,-1.049647,-25.38509,37.74092,-0.03928095,0.008508561,0.861194,1.025284,0.15956,0.1851734,0.47894,0.8571265,315
0.0,21.00613,0.135747,19.63004,20.62776,21.92567,2.295631,99.04247,177.6089,54.05232,100.8581,0.0477627,1.306065,0.01749535,0.02227977,0.05610702,0.03861168,1.509511,1.179114,1.477239,1.274655,0.02371558,1.029485,1.252959,1.008208,4.25416,0.4548003,7.429104,0.7360587,24.92438,0.3288139,456.8985,0.2627764,1328.459,0.1375573,-175.5519,-0.3623701,1412.65,0.1405092,-177.0929,-0.3371055,2436.718,0.07830023,-178.001,-0.3217481,-17.31974,-0.3899622,27.67634,0.2481256,-0.005732047,-3.353729,-0.01020114,-1.544571,-19.7402,32.74178,-0.02563498,0.01912398,0.6812506,0.6076369,0.2096402,0.1679209,1.413043,3.023542,316
